Quantidade_Vertices;Tipo_Grafo;Custo_Dijkstra;Tempo_Dijkstra(s);Custo_Duan;Tempo_Duan(s);Custo_BellmanFord;Tempo_BellmanFord(s)
541;barabasi;30388.0;0.000514;30485.0;0.000153;30388.0;0.000937
541;complete;2038.0;0.000363;2678.0;0.000288;2038.0;0.000676
541;erdos;57097.0;0.000413;57097.0;0.00013;57097.0;0.001081
541;regular;3657144.0;0.000403;3657144.0;9e-05;3657144.0;0.009948
541;watts;132470.0;0.000379;132470.0;0.000116;132470.0;0.001451
542;barabasi;37858.0;0.000408;37858.0;0.000138;37858.0;0.000938
542;complete;1844.0;0.000381;2333.0;0.000282;1844.0;0.000682
542;erdos;94971.0;0.000415;94971.0;0.000132;94971.0;0.001189
542;regular;181240.0;0.000428;181240.0;0.000108;181240.0;0.001065
542;watts;112532.0;0.000383;112532.0;0.000116;112532.0;0.001291
543;barabasi;35581.0;0.00041;35581.0;0.000143;35581.0;0.001371
543;complete;2196.0;0.000374;2824.0;0.000285;2196.0;0.000686
543;erdos;67953.0;0.000425;67953.0;0.000146;67953.0;0.001263
543;regular;2392850.0;0.000315;2392850.0;7.9e-05;2392850.0;0.006737
543;watts;130483.0;0.000411;130483.0;0.00012;130483.0;0.001727
544;erdos;75442.0;0.00042;75442.0;0.00013;75442.0;0.001215
544;barabasi;32838.0;0.000409;32838.0;0.000134;32838.0;0.000944
544;complete;1961.0;0.000403;2550.0;0.000288;1961.0;0.000685
544;regular;164516.0;0.000413;164516.0;0.000111;164516.0;0.001376
544;watts;117505.0;0.000397;117505.0;0.000116;117505.0;0.001722
545;barabasi;28918.0;0.00041;28918.0;0.000136;28918.0;0.001092
545;complete;1765.0;0.000387;2245.0;0.000279;1765.0;0.000687
545;erdos;72383.0;0.00042;72383.0;0.000128;72383.0;0.001189
545;regular;3149371.0;0.000361;3149371.0;8.9e-05;3149371.0;0.008657
545;watts;102388.0;0.000387;102388.0;0.000119;102388.0;0.001455
546;barabasi;31829.0;0.000411;31829.0;0.000137;31829.0;0.001098
546;complete;1771.0;0.000413;2131.0;0.000296;1771.0;0.000714
546;erdos;71197.0;0.000454;71197.0;0.000167;71197.0;0.001321
546;regular;177698.0;0.000494;177698.0;0.000141;177698.0;0.000912
546;watts;110765.0;0.000388;110765.0;0.000124;110765.0;0.001619
547;barabasi;35254.0;0.000416;35254.0;0.000142;35254.0;0.000963
547;complete;2151.0;0.000381;2762.0;0.000286;2151.0;0.000705
547;erdos;65942.0;0.000429;65942.0;0.000131;65942.0;0.001098
547;regular;3524765.0;0.000389;3524765.0;0.000113;3524765.0;0.010294
547;watts;131118.0;0.000382;131118.0;0.000117;131118.0;0.001486
548;complete;2025.0;0.000377;2622.0;0.000289;2025.0;0.000698
548;erdos;84174.0;0.000423;84174.0;0.000131;84174.0;0.001115
548;regular;166077.0;0.000516;166077.0;0.000142;166077.0;0.001272
548;watts;92884.0;0.000386;92884.0;0.000124;92884.0;0.001767
548;barabasi;28523.0;0.000409;28523.0;0.000136;28523.0;0.000963
549;barabasi;29151.0;0.000413;29151.0;0.000139;29151.0;0.001109
549;complete;1982.0;0.000382;2654.0;0.000289;1982.0;0.000694
549;erdos;75365.0;0.000422;75365.0;0.00015;75365.0;0.001092
549;regular;780469.0;0.000167;780469.0;4.5e-05;780469.0;0.002247
549;watts;124857.0;0.00038;124857.0;0.000118;124857.0;0.001916
550;barabasi;27235.0;0.000414;27235.0;0.000139;27235.0;0.001113
550;complete;1914.0;0.000417;2370.0;0.000283;1914.0;0.000705
550;erdos;67321.0;0.000433;67321.0;0.000133;67321.0;0.001103
550;regular;160245.0;0.000421;160245.0;0.000111;160245.0;0.00141
550;watts;131302.0;0.000387;131302.0;0.00012;131302.0;0.002345
551;complete;2026.0;0.000383;2688.0;0.000292;2026.0;0.000699
551;erdos;77917.0;0.000536;77917.0;0.000135;77917.0;0.001425
551;regular;3448021.0;0.000435;3448021.0;8.8e-05;3448021.0;0.00995
551;watts;95264.0;0.000423;95264.0;0.000157;95264.0;0.001879
551;barabasi;32513.0;0.000424;32513.0;0.000138;32513.0;0.000968
552;barabasi;31463.0;0.000421;31463.0;0.000142;31463.0;0.001015
552;complete;2399.0;0.00039;3123.0;0.000291;2399.0;0.000847
552;erdos;77142.0;0.00043;77142.0;0.000132;77142.0;0.001009
552;regular;194209.0;0.000413;194209.0;0.000114;194209.0;0.001473
552;watts;105169.0;0.000391;105169.0;0.00012;105169.0;0.001455
553;barabasi;36028.0;0.000422;36028.0;0.000139;36028.0;0.001124
553;complete;2053.0;0.000386;2664.0;0.000293;2053.0;0.000704
553;erdos;81563.0;0.000548;81563.0;0.000167;81563.0;0.00159
553;regular;1924053.0;0.000285;1924053.0;6.7e-05;1924053.0;0.005887
553;watts;122862.0;0.000392;122862.0;0.000123;122862.0;0.001652
554;watts;125294.0;0.000398;125294.0;0.000121;125294.0;0.002122
554;barabasi;30615.0;0.000516;30615.0;0.000139;30615.0;0.000977
554;complete;1874.0;0.000402;2330.0;0.000289;1874.0;0.00071
554;erdos;68110.0;0.000441;68110.0;0.000138;68110.0;0.001451
554;regular;199582.0;0.000427;199582.0;0.000112;199582.0;0.00129
555;barabasi;32315.0;0.000418;32325.0;0.000144;32315.0;0.001132
555;complete;2340.0;0.000399;3287.0;0.0003;2340.0;0.000717
555;erdos;65606.0;0.000484;65606.0;0.00017;65606.0;0.001448
555;regular;2104687.0;0.000303;2104687.0;7.2e-05;2104687.0;0.006262
555;watts;114023.0;0.000391;114023.0;0.000121;114023.0;0.001805
556;barabasi;38592.0;0.000424;38592.0;0.000139;38592.0;0.00135
556;complete;2106.0;0.000393;2846.0;0.000297;2106.0;0.000715
556;erdos;67697.0;0.000432;67697.0;0.000172;67697.0;0.001495
556;regular;124157.0;0.00048;124157.0;0.000112;124157.0;0.001263
556;watts;102869.0;0.000394;102869.0;0.000121;102869.0;0.001819
557;barabasi;31580.0;0.000534;31580.0;0.000177;31580.0;0.001216
557;complete;1980.0;0.000395;2599.0;0.000299;1980.0;0.000715
557;erdos;60863.0;0.000439;60863.0;0.000162;60863.0;0.00121
557;regular;3020602.0;0.000367;3020602.0;8.5e-05;3020602.0;0.008882
